category,title,chinese_title,publish_date,original_publish_date,source_url,cover_url,summary,chinese_summary
Guide,503A Compounding – Regulatory Basis and Industry Good Practices for Pharmacies,503A 调配——药房的监管依据与行业 GMP 实践,2024-04-01,April 2024,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964755,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964755.cover.jpg,"Following the need identified by the ISPE survey of compounding pharmacies and regulators, it is evident that compounding pharmacies would benefit from consolidating FDA regulations and recommendations and the United States Pharmacopeia (USP) criteria into a single guide.The ISPE Guide: [...]",根据ISPE对配药药房和监管机构调查所确定的需求，显然，配药药房将受益于将FDA法规和建议以及美国药典（USP）标准整合到一本指南中。ISPE指南：[...]
Guide,Advanced Therapy Medicinal Products – Recombinant AAV Comparability and Lifecycle Management,先进治疗药物——重组AAV的可比性和生命周期管理,2024-01-01,January 2024,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964731,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964731.cover.jpg,"As gene therapy products race towards the clinic and commercial launch, sponsor companies are faced with significant hurdles posed by evolving manufacturing platforms, process improvements across multiple stages of development, and a rapidly growing toolkit for the characterization of viral [...]",随着基因治疗产品加速迈向临床和商业化上市，申办公司正面临由不断发展的生产平台、多个开发阶段的工艺改进，以及快速扩充的病毒特性表征工具箱所带来的重大挑战……
Guide,Advanced Therapy Medicinal Products – Allogeneic Cell Therapy,先进治疗药物——同种异体细胞疗法,2024-01-01,January 2024,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964748,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964748.cover.jpg,"Advanced Therapy Medicinal Products (ATMPs) are based on genes, cells, or tissues delivered to patients to provide a therapeutic benefit based on a specific target of interest. For ATMPs, the therapy is cells, engineered tissues, or the manipulation of the [...]",先进治疗药物（ATMPs）基于基因、细胞或组织，被输送给患者以提供针对特定目标的治疗益处。对于ATMPs而言，其疗法是细胞、工程化组织，或是对[…]的操控。
Baseline Guide,Volume 8 – Pharma 4.0™,第8卷 – 制药4.0™,2023-12-01,December 2023,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964724,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964724.cover.jpg,"Applying emerging and digital technologies can lead to more robust and flexible manufacturing processes. This can help the pharmaceutical industry respond to drug shortages, reduce interruptions in the production and delivery of medicines, and ensure consistent clinical performance of products.With [...]",应用新兴技术和数字技术可以带来更强大、更灵活的生产流程。这有助于制药行业应对药品短缺，减少药品生产和供应过程中的中断，并确保产品临床性能的一致性。与[...]
Baseline Guide,Volume 6 – Biopharmaceutical Manufacturing Facilities (Third Edition),第6卷——生物制药生产设施（第三版）,2023-11-01,November 2023,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964717,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964717.cover.jpg,"The biopharmaceutical industry has adapted to reflect available technologies such as single-use technologies and modular construction methodologies, products with more focused patient populations, evolving regulatory conditions, unrelenting pressures on costs, and increased focus on robust product supply while maintaining high-quality [...]",生物制药行业已做出调整，以反映当前可用的技术，例如一次性技术与模块化建造方法、针对更精准患者群体的产品、不断变化的监管环境、持续存在的成本压力，以及在保持高质量的同时，更加注重稳健的产品供应……
Good Practice Guide,Process Gases (Second Edition),工艺气体（第二版）,2023-10-01,October 2023,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964700,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964700.cover.jpg,"The ISPE Good Practice Guide: Process Gases, Second Edition presents recent advances in construction materials and updates on current good practices. This edition is aligned with the latest regulatory guidance including EU Annex 1 (revised 2022), EU Annex 15, the [...]",ISPE良好实践指南：工艺气体，第二版介绍了建筑材料方面的最新进展，并更新了当前的良好实践。本版与最新的法规指南保持一致，包括欧盟附录1（2022年修订版）、欧盟附录15，以及[...]
未知类型,503B Compounding – Regulatory Basis and Industry Good Practices for Outsourcing Facilities,503B 调配——外包机构的监管依据与行业良好实践,2023-08-01,August 2023,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964694,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964694.cover.jpg,An ISPE survey of compounding pharmacies and regulators overwhelmingly demonstrated that 503B outsourcing facilities could benefit from comprehensive guidance summarizing regulatory requirements. The ISPE Guide: 503B Compounding – Regulatory Basis and Industry Good Practices for Outsourcing Facilities aims to help [...],ISPE对配药药房和监管部门的调查显示，503B外包机构普遍认为，获得一份全面指南以总结监管要求将大有裨益。ISPE指南：503B配药——外包机构的监管依据与行业GMP实践，旨在帮助[...]
未知类型,2023 ISPE Drug Shortages Prevention Model,2023年ISPE药品短缺预防模型,2023-05-01,May 2023,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964649,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964649.cover.jpg,"The ISPE Drug Shortages Prevention Model serves as a guide to help prevent drug shortages by providing quality, regulatory, and technical recommendations for the pharmaceutical manufacturing industry. The ISPE Drug Shortages Task Team developed the model as a follow up [...]",ISPE药品短缺预防模型为制药行业提供了质量、法规和技术方面的建议，旨在帮助预防药品短缺，是一份实用指南。ISPE药品短缺特别工作组在后续工作中制定了该模型……
未知类型,ISPE Readiness Report Bundle,ISPE 准备情况报告合集,2023-05-01,May 2023,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964687,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964687.cover.jpg,"Report on ISPE Work to Support Establishment of the European Union Health Emergency Preparedness and Response Authority (HERA) (Published: May 2023)In 2022 ISPE worked with McKinsey and Company to provide technical and Chemistry, Manufacturing, and Controls (CMC) information on two [...]",ISPE支持建立欧盟卫生应急准备与响应机构（HERA）的工作报告（发布日期：2023年5月）2022年，ISPE与麦肯锡公司合作，就两个[...]提供了技术和化学、生产和控制（CMC）方面的信息。
Good Practice Guide,Containment for Potent Compounds,强效化合物的 containment,2022-12-01,December 2022,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964601,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964601.cover.jpg,"There are an increasing number of highly potent compounds handled within the pharmaceutical industry, a trend that has continued for over 20 years to the point where most modern products require some degree of containment or other exposure control to [...]",制药行业内处理的高活性化合物数量日益增多，这一趋势已持续超过20年，以至于大多数现代产品都需要一定程度的密闭或其他暴露控制措施，以……
Advancing Pharmaceutical Quality Guide,Cultural Excellence,文化卓越,2022-11-01,November 2022,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964595,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964595.cover.jpg,Cultural excellence is the expressed and implied ways in which an organization operates. Excellence in organizational culture is essential for delivering robust and sustained quality performance and ensuring patient-focused outcomes. Culture determines quality outcomes by affecting the organization’s ability to [...],文化卓越是组织运作所表现出的显性和隐性方式。组织文化的卓越对于实现稳健且持续的高质量绩效、确保以患者为中心的成果至关重要。文化通过影响组织的能力，从而决定质量成果……
Advancing Pharmaceutical Quality Guide,Process Performance and Product Quality Monitoring System,工艺性能与产品质量监控系统,2022-09-01,September 2022,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964588,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964588.cover.jpg,What is the current state of your organization’s Process Performance and Product Quality Monitoring Systems (PPPQMS)? ICH Q10 establishes an expectation for pharmaceutical companies to “plan and execute a system for the monitoring of process performance and product quality to [...],贵组织的工艺绩效与产品质量监控系统（PPPQMS）目前处于什么状态？ICH Q10 规定，制药公司应“规划并实施一套用于监控工艺绩效和产品质量的系统，以[...]”
GAMP 5,A Risk-Based Approach to Compliant GxP Computerized Systems (Second Edition),基于风险的合规GxP计算机化系统方法（第二版）,2022-07-01,July 2022,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964571,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964571.cover.jpg,"GAMP aims to deliver a cost-effective framework of good practice to ensure that computerized systems are effective and of high quality, fit for intended use, and compliant with applicable regulations.Maintaining the principles and framework of the first edition, ISPE GAMP® [...]",GAMP旨在提供一套具有成本效益的良好实践框架，以确保计算机化系统有效且质量高，适合预期用途，并符合相关法规。在保持第一版原则和框架的基础上，ISPE GAMP® [...]
Good Practice Guide,Membrane-Based Water for Injection Systems,基于膜的注射用水系统,2022-05-01,May 2022,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964564,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964564.cover.jpg,"For nearly a century, production of Water for Injection (WFI) was universally accepted to be distillation-based. As emphasis on costs and environmental concerns has grown, pharmacopeias around the world have focused on the quality attributes of WFI to allow for [...]",近一个世纪以来，注射用水（WFI）的生产一直普遍采用蒸馏法。随着对成本和环境问题的日益重视，世界各地的药典已开始关注WFI的质量特性，以允许[...]
Good Practice Guide,Continuous Manufacturing of Oral Solid Dosage Forms,口服固体制剂的连续制造,2022-03-01,March 2022,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964540,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964540.cover.jpg,"When the pharmaceutical industry began to apply the principles of continuous processing to the manufacture of Oral Solid Dosage (OSD) forms in the mid-2000s, the industry initially focused on establishing the technical capabilities of continuous manufacturing systems. It has now [...]",2000年代中期，制药行业开始将连续生产的原则应用于口服固体剂型（OSD）的制造时，最初的重点是建立连续生产系统的技术能力。如今，它已经[...]
Advancing Pharmaceutical Quality Guide,Change Management System,变更管理系统,2022-02-01,February 2022,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964526,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964526.cover.jpg,"What is the current state of your organization’s Change Management (CM) System? The effective management of change throughout the product lifecycle enables quality improvement and is critical to patient safety, supply reliability, as well as operational effectiveness and efficiency.“Pharmaceutical companies [...]",贵组织的变更管理（CM）体系目前处于什么状态？在整个产品生命周期中有效管理变更，能够促进质量提升，同时对患者安全、供应可靠性以及运营效率和效益至关重要。“制药公司[...]
Good Practice Guide,"Controlled Temperature Chambers – Commissioning and Qualification, Mapping and Monitoring (Second Edition)",恒温箱——调试与确认、测绘与监测（第二版）,2021-12-01,December 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964519,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964519.cover.jpg,"With the increasing complexity of global distribution for medicines requiring controlled temperatures, the ISPE Good Practice Guide: Controlled Temperature Chamber – Commissioning and Qualification, Mapping and Monitoring (Second Edition) provides guidance on the lifecycle management of GMP-controlled temperature chambers from [...]",随着对需控制温度药品的全球分销日益复杂，ISPE良好实践指南：控制温度恒温箱——调试与确认、测绘与监测（第二版）提供了关于GMP控制温度恒温箱生命周期管理的指导，从[...]
Guide,Advanced Therapy Medicinal Products – Autologous Cell Therapy,先进治疗药物——自体细胞疗法,2021-11-01,November 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964502,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964502.cover.jpg,"Advanced Therapy Medicinal Product (ATMP) therapies include cells, engineered tissues, or the manipulation of the patient’s genome. This is in contrast with traditional manufacturing processes for compounds that are synthetically derived (i.e., small molecule) or proteins or peptides expressed by cellular [...]",先进治疗药物产品（ATMP）疗法包括细胞、工程化组织，或对患者基因组的操控。这与传统化合物制造工艺形成对比，传统工艺所生产的化合物通常为合成来源（即小分子），或是由细胞表达的蛋白质或肽类[...]
Good Practice Guide,Good Engineering Practice (Second Edition),良好工程规范（第二版）,2021-10-01,October 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964489,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964489.cover.jpg,Running a business efficiently requires working practices that will deliver optimum value for a given scope of work. The adoption of Good Engineering Practice (GEP) can lead to a balance of expenditure and activity in relation to benefits. Benefit is [...],高效经营企业需要采用能够为既定工作范围带来最大价值的工作实践。采用良好工程规范（GEP）可实现支出与活动之间的平衡，从而获得相应的效益。效益是[...]
D/A/CH Affiliate,Production of Water for Injection without Distillation Handbook [English Translation],《无蒸馏注射用水生产手册》[英文翻译],2021-09-01,September 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964359,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964359.cover.jpg,The ISPE D/A/C/H Affiliate Handbook: Production of Water for Injection without Distillation was first published by the ISPE Germany/Austria/Switzerland (D/A/CH) Affiliate in March 2019 in German and has been translated into English.This Handbook has been prepared by authors exclusively from [...],ISPE D/A/C/H分会手册：无蒸馏工艺制备注射用水，于2019年3月由ISPE德国/奥地利/瑞士（D/A/CH）分会首次以德语出版，并已译成英语。本手册由来自[...]的作者专门编写。
GAMP Good Practice Guide,"Enabling Innovation – Critical Thinking, Agile, IT Service Management",赋能创新——批判性思维、敏捷、IT服务管理,2021-09-01,September 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964465,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964465.cover.jpg,"The drive within life sciences to improve patient safety and product quality, and provide value to society, while reducing costs requires constant and effective innovation. However, because the pharmaceutical industry operates in a highly regulated sector, some practitioners may apply [...]",生命科学领域致力于提高患者安全和产品质量，为社会创造价值，同时降低成本，这需要持续而有效的创新。然而，由于制药行业处于高度监管的领域，一些从业者可能会应用[...]
Good Practice Guide,Investigational Medicinal Product Reverse Logistics – Good Returns and Reconciliation Practices,试验用药品逆向物流——良好退货与对账实践,2021-08-01,August 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964458,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964458.cover.jpg,Every year the number of clinical trials conducted across the globe rises in a concerted effort to develop new or improved medicinal products that ultimately improve lives. The pharmaceutical industry has developed standards and best practices in almost every aspect [...],每年，全球开展的临床试验数量都在增加，这是为了集中力量开发出新的或更优质的药物，最终改善人们的生活。制药行业几乎在每个方面都制定了标准和最佳实践……
Advancing Pharmaceutical Quality Guide,Management Responsibilities and Management Review,管理职责与管理评审,2021-07-01,July 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964441,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964441.cover.jpg,ICH Q10 sets a clear expectation regarding the role of strong leadership in terms of demonstrating and communicating “strong and visible support for the pharmaceutical quality system.” The ISPE APQ Guide: Management Responsibilities and Management Review provides a quality management [...],ICH Q10 明确提出了强有力的领导在展示和传达“对药品质量体系的坚定而明显的支持”方面所应发挥的作用。ISPE APQ 指南：管理职责与管理评审提供了质量管理[...]
Good Practice Guide,Knowledge Management in the Pharmaceutical Industry,制药行业的知识管理,2021-05-01,May 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964427,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964427.cover.jpg,"ICH Q10 outlines three objectives: achieve product realization, establish and maintain a state of control, and facilitate continual improvement. Embracing these objectives can be best achieved using the dual enablers, Knowledge Management (KM) and Quality Risk Management (QRM). The first [...]",ICH Q10 阐述了三个目标：实现产品化，建立并保持受控状态，以及促进持续改进。采用这些目标的最佳方式是借助两大推动因素，即知识管理（KM）和质量风险管理（QRM）。第一个 [...]
Good Practice Guide,Maintenance (Second Edition),维护（第二版）,2021-01-01,January 2021,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964380,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964380.cover.jpg,Maintenance can impact both the quality of products and the compliance of pharmaceutical processes. Maintenance programs have long been recognized as critical to the success of the operations they support. This Guide is focused on maintenance in GMP areas and [...],维护工作既会影响产品质量，也会影响制药工艺的合规性。长期以来，维护计划一直被视为其支持的运营成功的关键。本指南重点关注GMP区域的维护工作，并[...]
Good Practice Guide,Equipment Reliability,设备可靠性,2020-12-01,December 2020,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964373,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964373.cover.jpg,"Equipment reliability is concerned with the risk of failures in equipment and processes, providing focus on equipment availability, fitness for purpose, and cost. The strategy and tactics of reliability contribute to realizing the value of equipment throughout its useful life [...]",设备可靠性涉及设备和工艺中发生故障的风险，重点关注设备的可用性、适用性和成本。可靠性的战略和策略有助于在设备的整个使用寿命内实现其价值……
Advancing Pharmaceutical Quality Guide,Corrective Action and Preventive Action (CAPA) System,纠正与预防措施（CAPA）系统,2020-11-01,November 2020,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964366,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964366.cover.jpg,"What is the current state of your organization’s Corrective Action and Preventive Action (CAPA) System? Is it robust, consistent, and efficient? The ISPE APQ Guide: Corrective Action and Preventive Action (CAPA) Systemprovides a quality management framework for assessing and advancing [...]",贵组织的纠正与预防措施（CAPA）系统目前处于什么状态？它是否健全、一致且高效？ISPE APQ指南：纠正与预防措施（CAPA）系统提供了一个质量管理框架，用于评估和提升[...]
GAMP RDI Good Practice Guide,Data Integrity by Design,设计驱动的数据完整性,2020-10-01,October 2020,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964342,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964342.cover.jpg,"Data Integrity by Design is the concept that data integrity must be incorporated from the initial planning of a business process through to the implementation, operation, and retirement of computerized systems supporting that business process. It promotes the application of [...]",“设计即数据完整性”这一概念是指，从业务流程的初始规划，到支持该业务流程的计算机化系统的实施、运行和退役，都必须将数据完整性纳入其中。它提倡应用[...]
Guide,"Cleaning Validation Lifecycle – Applications, Methods, and Controls",清洁验证生命周期——应用、方法与控制,2020-08-01,August 2020,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964311,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964311.cover.jpg,"Regulatory agencies expect the development and validation of a compliant cleaning program. This critical activity ensures that the risks of contamination, product carry over, and cross contamination are controlled, minimized, and monitored to safeguard patient safety and product quality.This ISPE [...]",监管机构期望制定并验证一套符合GMP的清洁方案。这一关键活动确保污染风险、产品残留和交叉污染得到控制、最小化和监控，以保障患者安全和产品质量。ISPE [...]
