title,chinese_title,category,original_publish_date,publish_date,summary,chinese_summary,original_file_url,source_url
TRS 1044 - Annex 7: WHO good manufacturing practices for investigational products,WHO GMP 适用于研究用产品的指南,Production,31 August 2022,2022-08-31,The objective of this update is to bring the guideline in line with current  expectations and trends in good practices and to harmonize the text with the  principles of other related international guidelines.,本次更新的目的是使指南符合当前良好实践的期望和趋势，并与其他相关国际指南的原则保持一致。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1044-annex7-good-manufacturing-practices-for-investigational-products.pdf?sfvrsn=66b15a93_1&download=true,https://www.who.int/publications/m/item/trs1044-annex7
TRS 1044 - Annex 3: IAEA/WHO guideline on good manufacturing practices for investigational,国际原子能机构/WHO关于研究用GMP的指南,Production,31 July 2022,2022-07-31,"In view of the rapidly expanding field of molecular imaging and targeted  radiopharmaceutical therapy, combined with the absence of dedicated guidance  specific to the manufacture of investigational radiopharmaceuticals used in  both early and late clinical trials, the World Health Organization (WHO), in  partnership with the International Atomic Energy Agency (IAEA), has raised the  urgency for the generation of a new IAEA/WHO guideline on good manufacturing  practices for investigational radiopharmaceutical products.",鉴于分子影像和靶向放射性药物治疗领域的快速扩展，加之目前尚缺乏专门针对用于早期和晚期临床试验的研究用放射性药物生产的指导方针，世界卫生组织（WHO）已与国际原子能机构（IAEA）合作，迫切需要制定一份新的IAEA/WHO关于研究用放射性药物产品GMP的指南。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1044-annex3-good-manufacturing-practices-for-radiopharmaceutical-products-(1).pdf?sfvrsn=fa6af369_1&download=true,https://www.who.int/publications/m/item/trs1044-annex3
TRS 1044 - Annex 4: WHO guidelines on technology transfer in pharmaceutical manufacturing,WHO关于药品生产中技术转让的指南,Production,30 April 2022,2022-04-30,"During the fifty-fifth meeting of the World Health Organization Expert Committee  on Specifications for Pharmaceutical Preparations, Expert Committee members  were updated on the annual consultation on good practices for health products  manufacture and inspection, which took place in July 2020 over a series of  virtual meetings due to the COVID-19 pandemic. During these virtual meetings,  a group of experts made a series of proposals for future activities, including a  possible update of the WHO guidelines on transfer of technology in pharmaceutical  manufacturing (1).",在世界卫生组织药品规格专家委员会第五十五次会议期间，专家委员会成员听取了关于2020年7月因新冠疫情而通过一系列线上会议举行的卫生产品生产和检验良好实践年度磋商的最新情况。在这些线上会议上，一组专家就未来活动提出了一系列建议，其中包括可能对世卫组织药品生产技术转让指南进行更新（1）。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1044-annex4-technology-transfer-in-pharmaceutical-manufacturing.pdf?sfvrsn=9a174f1a_1&download=true,https://www.who.int/publications/m/item/trs1044-annex4
TRS 1033 - Annex 3: Good manufacturing practices: water for pharmaceutical use,GMP：制药用水,Production,17 November 2021,2021-11-17,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033-annex3-gmp-water-for-pharmaceuticals-use.pdf?sfvrsn=aaa46ae5_4&download=true,https://www.who.int/publications/m/item/annex-3-trs-1033
TRS 1033 - Annex 4: WHO Guideline on data integrity,WHO GMP 数据完整性指南,Production,10 October 2021,2021-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033-annex4-guideline-on-data-integrity.pdf?sfvrsn=6218a4e6_4&download=true,https://www.who.int/publications/m/item/annex-4-trs-1033
TRS 1033 - Annex 2: Points to consider when including Health-Based Exposure Limits (HBELs) in cleaning validation,在清洁验证中纳入基于健康的暴露限值（HBELs）时需考虑的要点,Production,10 October 2021,2021-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033-annex2-points-to-consider-when-incl-hbels-in-cleaning-validation.pdf?sfvrsn=5ee0cd8a_1&download=true,https://www.who.int/publications/m/item/annex-2-trs-1033
TRS 1025 - Annex 2: IAEA - WHO good manufacturing practices for radiopharmaceutical products,国际原子能机构 - WHO 放射性药物产品的 GMP,Production,30 September 2020,2020-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex2.pdf?sfvrsn=7aceb0c1_6&download=true,https://www.who.int/publications/m/item/trs1025-annex2
TRS 1025 - Annex 3: Production of water for injection by means other than distillation,采用蒸馏法以外的方法生产注射用水,Production,20 April 2020,2020-04-20,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex3.pdf?sfvrsn=caebed51_4&download=true,https://www.who.int/publications/m/item/trs-1025-annex-3-water-for-injection
TRS 1025 - Annex 6: Points to consider for manufacturers and inspectors: environmental aspects of manufacturing for the prevention of antimicrobial resistance,制造商和检查员需考虑的要点：为预防抗菌素耐药性而进行生产的环境因素,Production,20 April 2020,2020-04-20,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex6.pdf?sfvrsn=c947184b_2&download=true,https://www.who.int/publications/m/item/trs-1025-annex-6
"TRS 1019 - Annex 2: WHO good manufacturing practices for heating, ventilation and air-conditioning systems for non-sterile pharmaceutical products (part 2): interpretation of guidelines",WHO非无菌药品加热、通风与空调系统GMP（第二部分）：指南解读,Production,30 September 2019,2019-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/who-good-manufacturing-practices-for-heating-ventilation-and-air-conditioning-systems-for-non-sterile-pharmaceutical-products-(part-2)-interpretation-of-guidelines.pdf?sfvrsn=88f312c7_3&download=true,https://www.who.int/publications/m/item/trs1019-annex2
TRS 1019 - Annex 3: Good manufacturing practices: guidelines on validation,GMP：验证指南,Production,25 January 2019,2019-01-25,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1019-annex3-gmp-validation.pdf?sfvrsn=9440a5c_0&download=true,https://www.who.int/publications/m/item/trs1019-annex3
"TRS 1010 - Annex 8: Guidelines on heating, ventilation and air-conditioning systems for non-sterile pharmaceutical products",非无菌药品的加热、通风与空调系统指南,Production,10 October 2018,2018-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1010-annex8-who-gmp-heating-ventilation-airconditioning.pdf?sfvrsn=c77698e2_0&download=true,https://www.who.int/publications/m/item/Annex-8-trs-1010
TRS 1010 - Annex 2: WHO good manufacturing practices for the manufacture of herbal medicines,WHO草药药品生产的GMP,Production,30 September 2018,2018-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1010-annex2-who-gmp-manufacture-herbal-medicines.pdf?sfvrsn=9241812_0&download=true,https://www.who.int/publications/m/item/trs1010-annex2
TRS 1010 - Annex 1: WHO good manufacturing practices for the manufacture of herbal medicines,WHO 草药生产的 GMP,Production,30 September 2018,2018-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1010-annex1-herbal-processing.pdf?sfvrsn=80b60ae5_0&download=true,https://www.who.int/publications/m/item/trs1010-annex1
TRS 996 - Annex 3: WHO good manufacturing practices for biological products (jointly with the Expert Committee on Biological Standardization),WHO 生物制品 GMP（与生物标准化专家委员会联合制定）,Production,14 April 2016,2016-04-14,"This current revision reflects subsequent developments that have taken place in science and technology, and in theapplication of risk-based approaches to GMP (2–14). The content of this document should be considered complementary      to the general recommendations set out in the current WHO good manufacturing practices for pharmaceutical products: main principles (2) and in other WHO documents related specifically to the production and control of biological products.",本次修订反映了科学技术以及基于风险的GMP方法应用方面的最新进展（2–14）。本文件的内容应被视为对现行《WHO药品生产质量管理规范：基本原则》（2）及其他专门针对生物制品生产和质量控制的WHO文件中所载总体建议的补充。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs996-annex03-gmp-for-biological-products.pdf?sfvrsn=b04b05b4_1&download=true,https://www.who.int/publications/m/item/trs996-annex3
TRS 992 - Annex 4: General guidance on hold-time studies,关于留样研究的一般指导,Production,31 October 2015,2015-10-31,"These guidelines focus primarily on aspects that should be considered in the  design of the hold-time studies during the manufacture of non-sterile solid dosage  forms. Many of the principles described here also apply to other dosage forms  such as liquids, creams and ointments. These guidelines do not cover aspects for  hold times in cleaning validation, or the manufacturing of active pharmaceutical  ingredients (APIs) or biologicals.",本指南主要关注非无菌固体剂型生产过程中留样稳定性研究设计中应考虑的各个方面。其中许多原则同样适用于液体、乳膏和软膏等其他剂型。本指南不涉及清洁验证中的留样时间，以及原料药或生物制品的生产相关方面。,https://cdn.who.int/media/docs/default-source/medicines/who-technical-report-series-who-expert-committee-on-specifications-for-pharmaceutical-preparations/trs-992/annex4-trs992.pdf?sfvrsn=4051caf4_2&download=true,https://www.who.int/publications/m/item/trs992-annex4
TRS 986 - Annex 2: WHO good manufacturing practices for pharmaceutical products: Main principles,WHO药品GMP：主要原则,Production,1 October 2014,2014-10-01,"Licensed pharmaceutical products (marketing authorization) should be  manufactured only by licensed manufacturers (holders of a manufacturing  authorization) whose activities are regularly inspected by competent national  authorities. This guide to GMP shall be used as a standard to justify GMP status,  which constitutes one of the elements of the WHO Certification Scheme on the  quality of pharmaceutical products moving in international commerce, through  the assessment of applications for manufacturing authorizations and as a basis  for the inspection of manufacturing facilities. It may also be used as training  material for government medicines inspectors, as well as for production, QC  and QA personnel in the industry",获准上市的药品（上市许可）应仅由获得许可的生产商（持有生产许可的机构）生产，这些企业的活动须定期接受国家主管当局的检查。本GMP指南将用作判定GMP合规性的标准，而GMP合规性正是世界卫生组织（WHO）国际药品贸易质量认证体系的重要组成部分之一，通过评估生产许可申请并作为工厂检查的基础来实现。此外，该指南还可作为政府药品监管人员的培训材料，以及供制药行业中的生产、质量控制和质量保证人员使用。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs986annex2.pdf?sfvrsn=320c9e62_6&download=true,https://www.who.int/publications/m/item/trs986-annex2
TRS 981 - Annex 2: WHO guidelines on quality risk management,WHO关于质量风险管理的指南,Production,25 January 2013,2013-01-25,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs981-annex2-who-quality-risk-management.pdf?sfvrsn=2fa44bc4_2&download=true,https://www.who.int/publications/m/item/trs981-annex2
TRS 961 - Annex 4: WHO good manufacturing practices for blood establishments (jointly with the Expert Committee on Biological Standardization),WHO 血液机构 GMP（与生物标准化专家委员会联合发布）,Production,30 September 2011,2011-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs961-annex4-gmp-blood-establishments.pdf?sfvrsn=bea4fa1b_2&download=true,https://www.who.int/publications/m/item/trs961-annex4
TRS 957 - Annex 2: WHO good manufacturing practices for active pharmaceutical ingredients (bulk drug substances),WHO 原料药 GMP,Production,1 October 2010,2010-10-01,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs957annex2_gmpactivepharmaceuticalingredientstrs_en.pdf?sfvrsn=694cf26_3&download=true,https://www.who.int/publications/m/item/annex-2-trs-957
TRS 957 - Annex 3: WHO good manufacturing practices for pharmaceutical products containing hazardous substances,WHO药品中含危险物质的GMP,Production,30 September 2010,2010-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs957_annex3_who-gmp-for-pharmaceutical-products-containing-hazardous-substances.pdf?sfvrsn=c5602d61_4&download=true,https://www.who.int/publications/m/item/trs957-annex3
TRS 957 - Annex 7: WHO guidelines for the preparation of a contract research organization master file,WHO关于合同研究组织主文件编制的指南,Production,30 September 2010,2010-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/trs957-annex7-guidelinespreparationcontractresearchorgmasterfile.pdf?sfvrsn=958aef39_2&download=true,https://www.who.int/publications/m/item/trs-957-annex-7
TRS 902 - Annex 9: Guidelines on packaging for pharmaceutical products,药品包装指南,Production,10 October 2002,2002-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/trs902-annex9.pdf?sfvrsn=82b4c57d_2&download=true,https://www.who.int/publications/m/item/annex-9-trs-902
TRS 1044 - Annex 8: Points to consider for setting the remaining shelf-life of medical products upon delivery,医疗器械产品交付时剩余有效期的设定需考虑的要点,Distribution,20 April 2022,2022-04-20,"Following the publication of Points to consider for setting the remaining shelf-life of  medical products upon delivery in 2020, a group from international agencies and  humanitarian organizations procuring health kits (including the International  Committee of the Red Cross, Médecins Sans Frontières, Save the Children,  United Nations Children’s Fund, United Nations Population Fund and the World  Health Organization) submitted a draft proposal for an amendment to include  emergency health kits used as part of the humanitarian response as an additional  example for consideration.",继2020年发布《关于确定医疗产品交付后剩余有效期的考虑要点》后，来自采购卫生包的国际机构和人道主义组织（包括国际红十字委员会、无国界医生组织、拯救儿童会、联合国儿童基金会、联合国人口基金以及世界卫生组织）的一个小组，提交了一份提案草案，建议增补一项修订内容，将作为人道主义应急响应一部分使用的紧急卫生包列为额外的参考示例。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs1044-annex8-points-to-consider-for-setting-the-remaining-shelf-life-of-medical-products.pdf?sfvrsn=dd30f2ab_2&download=true,https://www.who.int/publications/m/item/trs-1044-annex-8-shelf-life-medical-products-delivery
TRS 1033 - Annex 9: Guidelines on the implementation of the WHO Certification Scheme on the quality of pharmaceutical products moving in international commerce,世界卫生组织（WHO）关于国际药品贸易中药品质量认证计划实施的指南,Distribution,10 October 2021,2021-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033_annex9_guidelines-on-implementation-of-cpp.pdf?sfvrsn=c40c033b_1&download=true,https://www.who.int/publications/m/item/annex-9-trs-1033
TRS 986 - Appendix 6: Interagency finished pharmaceutical product questionnaire,跨机构成品药品问卷,Distribution,17 February 2021,2021-02-17,,,https://cdn.who.int/media/docs/default-source/procurement/iapq-template.pdf?sfvrsn=de076515_1&download=true,https://www.who.int/publications/m/item/interagency-finished-pharmaceutical-product-questionnaire
TRS 1025 - Annex 7: Good storage and distribution practices for medical products,医疗产品的良好储存与配送规范,Distribution,17 June 2020,2020-06-17,"Storage and distribution are important activities in the supply chain management of medical products. Various people and entities may be responsible for the handling, storage and distribution of medical products. Medical products may be subjected to various risks at different stages in the supply chain, for example, purchasing, storage, repackaging, relabelling, transportation and distribution.",储存和配送是医疗产品供应链管理中的重要活动。各类人员和实体可能负责医疗产品的搬运、储存和配送工作。在供应链的不同环节，例如采购、储存、重新包装、重新贴标、运输和配送等阶段，医疗产品可能会面临各种风险。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs1025-annex7-(1).pdf?sfvrsn=1f96888d_4&download=true,https://www.who.int/publications/m/item/trs-1025-annex-7
TRS 1019 - Annex 5: Guidelines on import procedures for medical products,医疗产品进口程序指南,Distribution,10 October 2019,2019-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs1019-annex5-who-guidelines-on-import-procedures-for-medical-products.pdf?sfvrsn=ef223e14_2&download=true,https://www.who.int/publications/m/item/annex-5-trs-1019
TRS 1010 - Annex 5: WHO guidance on testing of “suspect” falsified medicines,WHO关于“可疑”假药检测的指导原则,Distribution,30 September 2018,2018-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs1010-annex5-testing-suspect-samples.pdf?sfvrsn=df47cb5_2&download=true,https://www.who.int/publications/m/item/trs1010-annex5
TRS 966 - Annex 2: FIP–WHO technical guidelines: Points to consider in the provision by health-care professionals of children-specific preparations that are not available as authorized products,FIP–WHO 技术指南：卫生保健专业人员在提供儿童专用制剂时需考虑的要点，这些制剂并非作为授权产品供应,Distribution,10 October 2016,2016-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs966-annex2-fip---who-technical-guideline.pdf?sfvrsn=efe8e221_2&download=true,https://www.who.int/publications/m/item/annex-2-trs-966
TRS 966 - Annex 7: Guidelines on the conduct of surveys of the quality of medicines,药品质量调查指南,Distribution,10 October 2016,2016-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs966-annex7-who-guidelines-on-the-conduct-of-surveys-of-the-quality-of-medicines.pdf?sfvrsn=4dbb5519_2&download=true,https://www.who.int/publications/m/item/Annex-7-trs-no-966
TRS 996 - Annex 6: WHO good trade and distribution practices for pharmaceutical starting materials,WHO药品原料药良好贸易与分销规范,Distribution,10 October 2016,2016-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs996-annex06-good-trade-and-distribution-practice-for-starting-materials914a3c92-e15d-420d-859a-34f666a6c659.pdf?sfvrsn=71e466ca_2&download=true,https://www.who.int/publications/m/item/annex-6-trs-996
TRS 992 - Annex 5: Technical supplements to Model guidance for the storage and transport of time- and temperature–sensitive pharmaceutical products,技术性补充文件——关于对时间和温度敏感的药品储存与运输的示范指南,Distribution,10 October 2015,2015-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs992-annex545d189fa-afef-4763-8da8-05401b91a128.pdf?sfvrsn=1bfa9db_1&download=true,https://www.who.int/publications/m/item/trs992-annex5
TRS 986 - Annex 4: Assessment tool based on the model quality assurance system for procurement agencies: aide-memoire for inspection,基于采购机构模型质量保证体系的评估工具：检查备忘录,Distribution,10 October 2014,2014-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs986-annex4-assessment-tool-based-on-the-model-quality-assurance-system.pdf?sfvrsn=d4c03f00_7&download=true,https://www.who.int/publications/m/item/annex4-trs986-eng
TRS 986 - Annex 3: WHO model quality assurance system for procurement agencies,WHO采购机构GMP质量保证体系范本,Distribution,30 September 2014,2014-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs986-annex3-who-model-quality-assurance-system-for-procurement-agencies.pdf?sfvrsn=4baca576_4&download=true,https://www.who.int/publications/m/item/trs-986-annex-3
"TRS 961 - Annex 9, Supplement 3: Estimating the capacity of storage facilities",估算仓储设施的容量,Distribution,10 October 2011,2011-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs961-annex9-supp3.pdf?sfvrsn=4149f0d7_2&download=true,https://www.who.int/publications/m/item/Annex-9-b-trs-961
"TRS 961 - Annex 9, Supplement 12: Temperature-controlled transport operations by road and by air",公路和航空的温控运输作业,Distribution,10 October 2011,2011-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs961-annex9-supp12.pdf?sfvrsn=c1ce5b05_2&download=true,https://www.who.int/publications/m/item/Annex-9-k-trs-961
"TRS 961 - Annex 9, Supplement 1: Selecting sites for storage facilities",选择仓储设施的地点,Distribution,10 October 2011,2011-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs961-annex9-supp1.pdf?sfvrsn=30aca9e5_2&download=true,https://www.who.int/publications/m/item/Annex-9-trsno-961
"TRS 961 - Annex 9, Supplement 6: Temperature and humidity monitoring systems for fixed storage areas",固定储存区域的温湿度监测系统,Distribution,10 October 2011,2011-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs961-annex9-supp6.pdf?sfvrsn=f7bf9011_2&download=true,https://www.who.int/publications/m/item/Annex-9-e-trs-961
"TRS 961 - Annex 9, Supplement 15: Temperature and humidity monitoring systems for transport operations",运输作业的温度和湿度监测系统,Distribution,10 October 2011,2011-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs961-annex9-supp15.pdf?sfvrsn=cd633a05_2&download=true,https://www.who.int/publications/m/item/Annex-9-n-trs-961
"TRS 961 - Annex 9, Supplement 8: Temperature mapping of storage areas",储存区域的温度测绘,Distribution,10 October 2011,2011-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs961-annex9-supp8.pdf?sfvrsn=fb423ff8_2&download=true,https://www.who.int/publications/m/item/Annex-9-g-trs-961
"TRS 961 - Annex 9, Supplement 4: Building security and fire protection",建筑安全与消防,Distribution,10 October 2011,2011-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs961-annex9-supp4.pdf?sfvrsn=d3c6a190_2&download=true,https://www.who.int/publications/m/item/Annex-9-c-trs-961
"TRS 961 - Annex 9, Supplement 13: Qualification of shipping containers",运输容器的确认,Distribution,10 October 2011,2011-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/distribution/trs961-annex9-supp13.pdf?sfvrsn=bbacf511_2&download=true,https://www.who.int/publications/m/item/Annex-9-l-trs-961
